date,season,year,month,weather,casual,registered,total
2011-01-01,Spring,2011,Jan,Mist,331,654,985
2011-01-02,Spring,2011,Jan,Mist,131,670,801
2011-01-03,Spring,2011,Jan,Clear,120,1229,1349
2011-01-04,Spring,2011,Jan,Clear,108,1454,1562
2011-01-05,Spring,2011,Jan,Clear,82,1518,1600
2011-01-06,Spring,2011,Jan,Clear,88,1518,1606
2011-01-07,Spring,2011,Jan,Mist,148,1362,1510
2011-01-08,Spring,2011,Jan,Mist,68,891,959
2011-01-09,Spring,2011,Jan,Clear,54,768,822
2011-01-10,Spring,2011,Jan,Clear,41,1280,1321
2011-01-11,Spring,2011,Jan,Mist,43,1220,1263
2011-01-12,Spring,2011,Jan,Clear,25,1137,1162
2011-01-13,Spring,2011,Jan,Clear,38,1368,1406
2011-01-14,Spring,2011,Jan,Clear,54,1367,1421
2011-01-15,Spring,2011,Jan,Mist,222,1026,1248
2011-01-16,Spring,2011,Jan,Clear,251,953,1204
2011-01-17,Spring,2011,Jan,Mist,117,883,1000
2011-01-18,Spring,2011,Jan,Mist,9,674,683
2011-01-19,Spring,2011,Jan,Mist,78,1572,1650
2011-01-20,Spring,2011,Jan,Mist,83,1844,1927
2011-01-21,Spring,2011,Jan,Clear,75,1468,1543
2011-01-22,Spring,2011,Jan,Clear,93,888,981
2011-01-23,Spring,2011,Jan,Clear,150,836,986
2011-01-24,Spring,2011,Jan,Clear,86,1330,1416
2011-01-25,Spring,2011,Jan,Mist,186,1799,1985
2011-01-26,Spring,2011,Jan,Light Rain/Snow,34,472,506
2011-01-27,Spring,2011,Jan,Clear,15,416,431
2011-01-28,Spring,2011,Jan,Mist,38,1129,1167
2011-01-29,Spring,2011,Jan,Clear,123,975,1098
2011-01-30,Spring,2011,Jan,Clear,140,956,1096
2011-01-31,Spring,2011,Jan,Mist,42,1459,1501
2011-02-01,Spring,2011,Feb,Mist,47,1313,1360
2011-02-02,Spring,2011,Feb,Mist,72,1454,1526
2011-02-03,Spring,2011,Feb,Clear,61,1489,1550
2011-02-04,Spring,2011,Feb,Mist,88,1620,1708
2011-02-05,Spring,2011,Feb,Mist,100,905,1005
2011-02-06,Spring,2011,Feb,Clear,354,1269,1623
2011-02-07,Spring,2011,Feb,Clear,120,1592,1712
2011-02-08,Spring,2011,Feb,Clear,64,1466,1530
2011-02-09,Spring,2011,Feb,Mist,53,1552,1605
2011-02-10,Spring,2011,Feb,Clear,47,1491,1538
2011-02-11,Spring,2011,Feb,Clear,149,1597,1746
2011-02-12,Spring,2011,Feb,Clear,288,1184,1472
2011-02-13,Spring,2011,Feb,Clear,397,1192,1589
2011-02-14,Spring,2011,Feb,Clear,208,1705,1913
2011-02-15,Spring,2011,Feb,Clear,140,1675,1815
2011-02-16,Spring,2011,Feb,Clear,218,1897,2115
2011-02-17,Spring,2011,Feb,Clear,259,2216,2475
2011-02-18,Spring,2011,Feb,Clear,579,2348,2927
2011-02-19,Spring,2011,Feb,Clear,532,1103,1635
2011-02-20,Spring,2011,Feb,Clear,639,1173,1812
2011-02-21,Spring,2011,Feb,Mist,195,912,1107
2011-02-22,Spring,2011,Feb,Clear,74,1376,1450
2011-02-23,Spring,2011,Feb,Clear,139,1778,1917
2011-02-24,Spring,2011,Feb,Mist,100,1707,1807
2011-02-25,Spring,2011,Feb,Mist,120,1341,1461
2011-02-26,Spring,2011,Feb,Clear,424,1545,1969
2011-02-27,Spring,2011,Feb,Clear,694,1708,2402
2011-02-28,Spring,2011,Feb,Mist,81,1365,1446
2011-03-01,Spring,2011,Mar,Clear,137,1714,1851
2011-03-02,Spring,2011,Mar,Clear,231,1903,2134
2011-03-03,Spring,2011,Mar,Clear,123,1562,1685
2011-03-04,Spring,2011,Mar,Mist,214,1730,1944
2011-03-05,Spring,2011,Mar,Mist,640,1437,2077
2011-03-06,Spring,2011,Mar,Mist,114,491,605
2011-03-07,Spring,2011,Mar,Clear,244,1628,1872
2011-03-08,Spring,2011,Mar,Clear,316,1817,2133
2011-03-09,Spring,2011,Mar,Mist,191,1700,1891
2011-03-10,Spring,2011,Mar,Light Rain/Snow,46,577,623
2011-03-11,Spring,2011,Mar,Mist,247,1730,1977
2011-03-12,Spring,2011,Mar,Clear,724,1408,2132
2011-03-13,Spring,2011,Mar,Clear,982,1435,2417
2011-03-14,Spring,2011,Mar,Clear,359,1687,2046
2011-03-15,Spring,2011,Mar,Mist,289,1767,2056
2011-03-16,Spring,2011,Mar,Mist,321,1871,2192
2011-03-17,Spring,2011,Mar,Clear,424,2320,2744
2011-03-18,Spring,2011,Mar,Clear,884,2355,3239
2011-03-19,Spring,2011,Mar,Clear,1424,1693,3117
2011-03-20,Spring,2011,Mar,Clear,1047,1424,2471
2011-03-21,Summer,2011,Mar,Mist,401,1676,2077
2011-03-22,Summer,2011,Mar,Clear,460,2243,2703
2011-03-23,Summer,2011,Mar,Mist,203,1918,2121
2011-03-24,Summer,2011,Mar,Mist,166,1699,1865
2011-03-25,Summer,2011,Mar,Clear,300,1910,2210
2011-03-26,Summer,2011,Mar,Clear,981,1515,2496
2011-03-27,Summer,2011,Mar,Mist,472,1221,1693
2011-03-28,Summer,2011,Mar,Clear,222,1806,2028
2011-03-29,Summer,2011,Mar,Clear,317,2108,2425
2011-03-30,Summer,2011,Mar,Mist,168,1368,1536
2011-03-31,Summer,2011,Mar,Light Rain/Snow,179,1506,1685
2011-04-01,Summer,2011,Apr,Mist,307,1920,2227
2011-04-02,Summer,2011,Apr,Mist,898,1354,2252
2011-04-03,Summer,2011,Apr,Clear,1651,1598,3249
2011-04-04,Summer,2011,Apr,Clear,734,2381,3115
2011-04-05,Summer,2011,Apr,Mist,167,1628,1795
2011-04-06,Summer,2011,Apr,Clear,413,2395,2808
2011-04-07,Summer,2011,Apr,Clear,571,2570,3141
2011-04-08,Summer,2011,Apr,Mist,172,1299,1471
2011-04-09,Summer,2011,Apr,Mist,879,1576,2455
2011-04-10,Summer,2011,Apr,Mist,1188,1707,2895
2011-04-11,Summer,2011,Apr,Mist,855,2493,3348
2011-04-12,Summer,2011,Apr,Mist,257,1777,2034
2011-04-13,Summer,2011,Apr,Mist,209,1953,2162
2011-04-14,Summer,2011,Apr,Clear,529,2738,3267
2011-04-15,Summer,2011,Apr,Clear,642,2484,3126
2011-04-16,Summer,2011,Apr,Light Rain/Snow,121,674,795
2011-04-17,Summer,2011,Apr,Clear,1558,2186,3744
2011-04-18,Summer,2011,Apr,Clear,669,2760,3429
2011-04-19,Summer,2011,Apr,Mist,409,2795,3204
2011-04-20,Summer,2011,Apr,Clear,613,3331,3944
2011-04-21,Summer,2011,Apr,Clear,745,3444,4189
2011-04-22,Summer,2011,Apr,Mist,177,1506,1683
2011-04-23,Summer,2011,Apr,Mist,1462,2574,4036
2011-04-24,Summer,2011,Apr,Mist,1710,2481,4191
2011-04-25,Summer,2011,Apr,Clear,773,3300,4073
2011-04-26,Summer,2011,Apr,Clear,678,3722,4400
2011-04-27,Summer,2011,Apr,Mist,547,3325,3872
2011-04-28,Summer,2011,Apr,Mist,569,3489,4058
2011-04-29,Summer,2011,Apr,Clear,878,3717,4595
2011-04-30,Summer,2011,Apr,Clear,1965,3347,5312
2011-05-01,Summer,2011,May,Mist,1138,2213,3351
2011-05-02,Summer,2011,May,Mist,847,3554,4401
2011-05-03,Summer,2011,May,Mist,603,3848,4451
2011-05-04,Summer,2011,May,Mist,255,2378,2633
2011-05-05,Summer,2011,May,Clear,614,3819,4433
2011-05-06,Summer,2011,May,Clear,894,3714,4608
2011-05-07,Summer,2011,May,Clear,1612,3102,4714
2011-05-08,Summer,2011,May,Clear,1401,2932,4333
2011-05-09,Summer,2011,May,Clear,664,3698,4362
2011-05-10,Summer,2011,May,Clear,694,4109,4803
2011-05-11,Summer,2011,May,Clear,550,3632,4182
2011-05-12,Summer,2011,May,Clear,695,4169,4864
2011-05-13,Summer,2011,May,Mist,692,3413,4105
2011-05-14,Summer,2011,May,Mist,902,2507,3409
2011-05-15,Summer,2011,May,Mist,1582,2971,4553
2011-05-16,Summer,2011,May,Clear,773,3185,3958
2011-05-17,Summer,2011,May,Mist,678,3445,4123
2011-05-18,Summer,2011,May,Mist,536,3319,3855
2011-05-19,Summer,2011,May,Mist,735,3840,4575
2011-05-20,Summer,2011,May,Clear,909,4008,4917
2011-05-21,Summer,2011,May,Clear,2258,3547,5805
2011-05-22,Summer,2011,May,Clear,1576,3084,4660
2011-05-23,Summer,2011,May,Mist,836,3438,4274
2011-05-24,Summer,2011,May,Mist,659,3833,4492
2011-05-25,Summer,2011,May,Clear,740,4238,4978
2011-05-26,Summer,2011,May,Clear,758,3919,4677
2011-05-27,Summer,2011,May,Clear,871,3808,4679
2011-05-28,Summer,2011,May,Clear,2001,2757,4758
2011-05-29,Summer,2011,May,Clear,2355,2433,4788
2011-05-30,Summer,2011,May,Clear,1549,2549,4098
2011-05-31,Summer,2011,May,Clear,673,3309,3982
2011-06-01,Summer,2011,Jun,Mist,513,3461,3974
2011-06-02,Summer,2011,Jun,Clear,736,4232,4968
2011-06-03,Summer,2011,Jun,Clear,898,4414,5312
2011-06-04,Summer,2011,Jun,Clear,1869,3473,5342
2011-06-05,Summer,2011,Jun,Mist,1685,3221,4906
2011-06-06,Summer,2011,Jun,Clear,673,3875,4548
2011-06-07,Summer,2011,Jun,Clear,763,4070,4833
2011-06-08,Summer,2011,Jun,Clear,676,3725,4401
2011-06-09,Summer,2011,Jun,Mist,563,3352,3915
2011-06-10,Summer,2011,Jun,Clear,815,3771,4586
2011-06-11,Summer,2011,Jun,Clear,1729,3237,4966
2011-06-12,Summer,2011,Jun,Clear,1467,2993,4460
2011-06-13,Summer,2011,Jun,Clear,863,4157,5020
2011-06-14,Summer,2011,Jun,Clear,727,4164,4891
2011-06-15,Summer,2011,Jun,Clear,769,4411,5180
2011-06-16,Summer,2011,Jun,Mist,545,3222,3767
2011-06-17,Summer,2011,Jun,Clear,863,3981,4844
2011-06-18,Summer,2011,Jun,Clear,1807,3312,5119
2011-06-19,Summer,2011,Jun,Mist,1639,3105,4744
2011-06-20,Summer,2011,Jun,Mist,699,3311,4010
2011-06-21,Fall,2011,Jun,Mist,774,4061,4835
2011-06-22,Fall,2011,Jun,Clear,661,3846,4507
2011-06-23,Fall,2011,Jun,Mist,746,4044,4790
2011-06-24,Fall,2011,Jun,Clear,969,4022,4991
2011-06-25,Fall,2011,Jun,Clear,1782,3420,5202
2011-06-26,Fall,2011,Jun,Clear,1920,3385,5305
2011-06-27,Fall,2011,Jun,Mist,854,3854,4708
2011-06-28,Fall,2011,Jun,Clear,732,3916,4648
2011-06-29,Fall,2011,Jun,Clear,848,4377,5225
2011-06-30,Fall,2011,Jun,Clear,1027,4488,5515
2011-07-01,Fall,2011,Jul,Clear,1246,4116,5362
2011-07-02,Fall,2011,Jul,Clear,2204,2915,5119
2011-07-03,Fall,2011,Jul,Mist,2282,2367,4649
2011-07-04,Fall,2011,Jul,Mist,3065,2978,6043
2011-07-05,Fall,2011,Jul,Clear,1031,3634,4665
2011-07-06,Fall,2011,Jul,Clear,784,3845,4629
2011-07-07,Fall,2011,Jul,Clear,754,3838,4592
2011-07-08,Fall,2011,Jul,Mist,692,3348,4040
2011-07-09,Fall,2011,Jul,Clear,1988,3348,5336
2011-07-10,Fall,2011,Jul,Clear,1743,3138,4881
2011-07-11,Fall,2011,Jul,Clear,723,3363,4086
2011-07-12,Fall,2011,Jul,Clear,662,3596,4258
2011-07-13,Fall,2011,Jul,Clear,748,3594,4342
2011-07-14,Fall,2011,Jul,Clear,888,4196,5084
2011-07-15,Fall,2011,Jul,Clear,1318,4220,5538
2011-07-16,Fall,2011,Jul,Clear,2418,3505,5923
2011-07-17,Fall,2011,Jul,Clear,2006,3296,5302
2011-07-18,Fall,2011,Jul,Clear,841,3617,4458
2011-07-19,Fall,2011,Jul,Clear,752,3789,4541
2011-07-20,Fall,2011,Jul,Clear,644,3688,4332
2011-07-21,Fall,2011,Jul,Mist,632,3152,3784
2011-07-22,Fall,2011,Jul,Clear,562,2825,3387
2011-07-23,Fall,2011,Jul,Clear,987,2298,3285
2011-07-24,Fall,2011,Jul,Clear,1050,2556,3606
2011-07-25,Fall,2011,Jul,Clear,568,3272,3840
2011-07-26,Fall,2011,Jul,Clear,750,3840,4590
2011-07-27,Fall,2011,Jul,Clear,755,3901,4656
2011-07-28,Fall,2011,Jul,Clear,606,3784,4390
2011-07-29,Fall,2011,Jul,Clear,670,3176,3846
2011-07-30,Fall,2011,Jul,Clear,1559,2916,4475
2011-07-31,Fall,2011,Jul,Clear,1524,2778,4302
2011-08-01,Fall,2011,Aug,Clear,729,3537,4266
2011-08-02,Fall,2011,Aug,Clear,801,4044,4845
2011-08-03,Fall,2011,Aug,Mist,467,3107,3574
2011-08-04,Fall,2011,Aug,Mist,799,3777,4576
2011-08-05,Fall,2011,Aug,Clear,1023,3843,4866
2011-08-06,Fall,2011,Aug,Mist,1521,2773,4294
2011-08-07,Fall,2011,Aug,Clear,1298,2487,3785
2011-08-08,Fall,2011,Aug,Clear,846,3480,4326
2011-08-09,Fall,2011,Aug,Clear,907,3695,4602
2011-08-10,Fall,2011,Aug,Clear,884,3896,4780
2011-08-11,Fall,2011,Aug,Clear,812,3980,4792
2011-08-12,Fall,2011,Aug,Clear,1051,3854,4905
2011-08-13,Fall,2011,Aug,Mist,1504,2646,4150
2011-08-14,Fall,2011,Aug,Mist,1338,2482,3820
2011-08-15,Fall,2011,Aug,Clear,775,3563,4338
2011-08-16,Fall,2011,Aug,Clear,721,4004,4725
2011-08-17,Fall,2011,Aug,Clear,668,4026,4694
2011-08-18,Fall,2011,Aug,Clear,639,3166,3805
2011-08-19,Fall,2011,Aug,Mist,797,3356,4153
2011-08-20,Fall,2011,Aug,Clear,1914,3277,5191
2011-08-21,Fall,2011,Aug,Clear,1249,2624,3873
2011-08-22,Fall,2011,Aug,Clear,833,3925,4758
2011-08-23,Fall,2011,Aug,Clear,1281,4614,5895
2011-08-24,Fall,2011,Aug,Clear,949,4181,5130
2011-08-25,Fall,2011,Aug,Mist,435,3107,3542
2011-08-26,Fall,2011,Aug,Clear,768,3893,4661
2011-08-27,Fall,2011,Aug,Mist,226,889,1115
2011-08-28,Fall,2011,Aug,Clear,1415,2919,4334
2011-08-29,Fall,2011,Aug,Clear,729,3905,4634
2011-08-30,Fall,2011,Aug,Clear,775,4429,5204
2011-08-31,Fall,2011,Aug,Clear,688,4370,5058
2011-09-01,Fall,2011,Sep,Clear,783,4332,5115
2011-09-02,Fall,2011,Sep,Mist,875,3852,4727
2011-09-03,Fall,2011,Sep,Clear,1935,2549,4484
2011-09-04,Fall,2011,Sep,Clear,2521,2419,4940
2011-09-05,Fall,2011,Sep,Mist,1236,2115,3351
2011-09-06,Fall,2011,Sep,Light Rain/Snow,204,2506,2710
2011-09-07,Fall,2011,Sep,Light Rain/Snow,118,1878,1996
2011-09-08,Fall,2011,Sep,Light Rain/Snow,153,1689,1842
2011-09-09,Fall,2011,Sep,Mist,417,3127,3544
2011-09-10,Fall,2011,Sep,Clear,1750,3595,5345
2011-09-11,Fall,2011,Sep,Clear,1633,3413,5046
2011-09-12,Fall,2011,Sep,Clear,690,4023,4713
2011-09-13,Fall,2011,Sep,Clear,701,4062,4763
2011-09-14,Fall,2011,Sep,Clear,647,4138,4785
2011-09-15,Fall,2011,Sep,Mist,428,3231,3659
2011-09-16,Fall,2011,Sep,Mist,742,4018,4760
2011-09-17,Fall,2011,Sep,Mist,1434,3077,4511
2011-09-18,Fall,2011,Sep,Clear,1353,2921,4274
2011-09-19,Fall,2011,Sep,Mist,691,3848,4539
2011-09-20,Fall,2011,Sep,Mist,438,3203,3641
2011-09-21,Fall,2011,Sep,Mist,539,3813,4352
2011-09-22,Fall,2011,Sep,Mist,555,4240,4795
2011-09-23,Winter,2011,Sep,Mist,258,2137,2395
2011-09-24,Winter,2011,Sep,Mist,1776,3647,5423
2011-09-25,Winter,2011,Sep,Mist,1544,3466,5010
2011-09-26,Winter,2011,Sep,Mist,684,3946,4630
2011-09-27,Winter,2011,Sep,Mist,477,3643,4120
2011-09-28,Winter,2011,Sep,Mist,480,3427,3907
2011-09-29,Winter,2011,Sep,Clear,653,4186,4839
2011-09-30,Winter,2011,Sep,Clear,830,4372,5202
2011-10-01,Winter,2011,Oct,Mist,480,1949,2429
2011-10-02,Winter,2011,Oct,Mist,616,2302,2918
2011-10-03,Winter,2011,Oct,Mist,330,3240,3570
2011-10-04,Winter,2011,Oct,Clear,486,3970,4456
2011-10-05,Winter,2011,Oct,Clear,559,4267,4826
2011-10-06,Winter,2011,Oct,Clear,639,4126,4765
2011-10-07,Winter,2011,Oct,Clear,949,4036,4985
2011-10-08,Winter,2011,Oct,Clear,2235,3174,5409
2011-10-09,Winter,2011,Oct,Clear,2397,3114,5511
2011-10-10,Winter,2011,Oct,Clear,1514,3603,5117
2011-10-11,Winter,2011,Oct,Mist,667,3896,4563
2011-10-12,Winter,2011,Oct,Light Rain/Snow,217,2199,2416
2011-10-13,Winter,2011,Oct,Mist,290,2623,2913
2011-10-14,Winter,2011,Oct,Mist,529,3115,3644
2011-10-15,Winter,2011,Oct,Clear,1899,3318,5217
2011-10-16,Winter,2011,Oct,Clear,1748,3293,5041
2011-10-17,Winter,2011,Oct,Clear,713,3857,4570
2011-10-18,Winter,2011,Oct,Mist,637,4111,4748
2011-10-19,Winter,2011,Oct,Light Rain/Snow,254,2170,2424
2011-10-20,Winter,2011,Oct,Clear,471,3724,4195
2011-10-21,Winter,2011,Oct,Clear,676,3628,4304
2011-10-22,Winter,2011,Oct,Clear,1499,2809,4308
2011-10-23,Winter,2011,Oct,Clear,1619,2762,4381
2011-10-24,Winter,2011,Oct,Clear,699,3488,4187
2011-10-25,Winter,2011,Oct,Clear,695,3992,4687
2011-10-26,Winter,2011,Oct,Mist,404,3490,3894
2011-10-27,Winter,2011,Oct,Mist,240,2419,2659
2011-10-28,Winter,2011,Oct,Mist,456,3291,3747
2011-10-29,Winter,2011,Oct,Light Rain/Snow,57,570,627
2011-10-30,Winter,2011,Oct,Clear,885,2446,3331
2011-10-31,Winter,2011,Oct,Clear,362,3307,3669
2011-11-01,Winter,2011,Nov,Clear,410,3658,4068
2011-11-02,Winter,2011,Nov,Clear,370,3816,4186
2011-11-03,Winter,2011,Nov,Clear,318,3656,3974
2011-11-04,Winter,2011,Nov,Mist,470,3576,4046
2011-11-05,Winter,2011,Nov,Clear,1156,2770,3926
2011-11-06,Winter,2011,Nov,Clear,952,2697,3649
2011-11-07,Winter,2011,Nov,Clear,373,3662,4035
2011-11-08,Winter,2011,Nov,Clear,376,3829,4205
2011-11-09,Winter,2011,Nov,Clear,305,3804,4109
2011-11-10,Winter,2011,Nov,Mist,190,2743,2933
2011-11-11,Winter,2011,Nov,Clear,440,2928,3368
2011-11-12,Winter,2011,Nov,Clear,1275,2792,4067
2011-11-13,Winter,2011,Nov,Clear,1004,2713,3717
2011-11-14,Winter,2011,Nov,Clear,595,3891,4486
2011-11-15,Winter,2011,Nov,Mist,449,3746,4195
2011-11-16,Winter,2011,Nov,Light Rain/Snow,145,1672,1817
2011-11-17,Winter,2011,Nov,Mist,139,2914,3053
2011-11-18,Winter,2011,Nov,Clear,245,3147,3392
2011-11-19,Winter,2011,Nov,Clear,943,2720,3663
2011-11-20,Winter,2011,Nov,Mist,787,2733,3520
2011-11-21,Winter,2011,Nov,Light Rain/Snow,220,2545,2765
2011-11-22,Winter,2011,Nov,Light Rain/Snow,69,1538,1607
2011-11-23,Winter,2011,Nov,Mist,112,2454,2566
2011-11-24,Winter,2011,Nov,Clear,560,935,1495
2011-11-25,Winter,2011,Nov,Clear,1095,1697,2792
2011-11-26,Winter,2011,Nov,Clear,1249,1819,3068
2011-11-27,Winter,2011,Nov,Clear,810,2261,3071
2011-11-28,Winter,2011,Nov,Clear,253,3614,3867
2011-11-29,Winter,2011,Nov,Mist,96,2818,2914
2011-11-30,Winter,2011,Nov,Clear,188,3425,3613
2011-12-01,Winter,2011,Dec,Clear,182,3545,3727
2011-12-02,Winter,2011,Dec,Clear,268,3672,3940
2011-12-03,Winter,2011,Dec,Clear,706,2908,3614
2011-12-04,Winter,2011,Dec,Clear,634,2851,3485
2011-12-05,Winter,2011,Dec,Mist,233,3578,3811
2011-12-06,Winter,2011,Dec,Light Rain/Snow,126,2468,2594
2011-12-07,Winter,2011,Dec,Light Rain/Snow,50,655,705
2011-12-08,Winter,2011,Dec,Clear,150,3172,3322
2011-12-09,Winter,2011,Dec,Clear,261,3359,3620
2011-12-10,Winter,2011,Dec,Clear,502,2688,3190
2011-12-11,Winter,2011,Dec,Clear,377,2366,2743
2011-12-12,Winter,2011,Dec,Clear,143,3167,3310
2011-12-13,Winter,2011,Dec,Clear,155,3368,3523
2011-12-14,Winter,2011,Dec,Mist,178,3562,3740
2011-12-15,Winter,2011,Dec,Mist,181,3528,3709
2011-12-16,Winter,2011,Dec,Mist,178,3399,3577
2011-12-17,Winter,2011,Dec,Mist,275,2464,2739
2011-12-18,Winter,2011,Dec,Clear,220,2211,2431
2011-12-19,Winter,2011,Dec,Clear,260,3143,3403
2011-12-20,Winter,2011,Dec,Mist,216,3534,3750
2011-12-21,Spring,2011,Dec,Mist,107,2553,2660
2011-12-22,Spring,2011,Dec,Mist,227,2841,3068
2011-12-23,Spring,2011,Dec,Clear,163,2046,2209
2011-12-24,Spring,2011,Dec,Clear,155,856,1011
2011-12-25,Spring,2011,Dec,Clear,303,451,754
2011-12-26,Spring,2011,Dec,Clear,430,887,1317
2011-12-27,Spring,2011,Dec,Mist,103,1059,1162
2011-12-28,Spring,2011,Dec,Clear,255,2047,2302
2011-12-29,Spring,2011,Dec,Clear,254,2169,2423
2011-12-30,Spring,2011,Dec,Clear,491,2508,2999
2011-12-31,Spring,2011,Dec,Clear,665,1820,2485
