date,season,year,month,weather,casual,registered,total
2012-01-01,Spring,2012,Jan,Clear,686,1608,2294
2012-01-02,Spring,2012,Jan,Clear,244,1707,1951
2012-01-03,Spring,2012,Jan,Clear,89,2147,2236
2012-01-04,Spring,2012,Jan,Mist,95,2273,2368
2012-01-05,Spring,2012,Jan,Clear,140,3132,3272
2012-01-06,Spring,2012,Jan,Clear,307,3791,4098
2012-01-07,Spring,2012,Jan,Clear,1070,3451,4521
2012-01-08,Spring,2012,Jan,Clear,599,2826,3425
2012-01-09,Spring,2012,Jan,Mist,106,2270,2376
2012-01-10,Spring,2012,Jan,Clear,173,3425,3598
2012-01-11,Spring,2012,Jan,Mist,92,2085,2177
2012-01-12,Spring,2012,Jan,Mist,269,3828,4097
2012-01-13,Spring,2012,Jan,Clear,174,3040,3214
2012-01-14,Spring,2012,Jan,Clear,333,2160,2493
2012-01-15,Spring,2012,Jan,Clear,284,2027,2311
2012-01-16,Spring,2012,Jan,Clear,217,2081,2298
2012-01-17,Spring,2012,Jan,Mist,127,2808,2935
2012-01-18,Spring,2012,Jan,Clear,109,3267,3376
2012-01-19,Spring,2012,Jan,Clear,130,3162,3292
2012-01-20,Spring,2012,Jan,Mist,115,3048,3163
2012-01-21,Spring,2012,Jan,Mist,67,1234,1301
2012-01-22,Spring,2012,Jan,Mist,196,1781,1977
2012-01-23,Spring,2012,Jan,Mist,145,2287,2432
2012-01-24,Spring,2012,Jan,Clear,439,3900,4339
2012-01-25,Spring,2012,Jan,Clear,467,3803,4270
2012-01-26,Spring,2012,Jan,Mist,244,3831,4075
2012-01-27,Spring,2012,Jan,Mist,269,3187,3456
2012-01-28,Spring,2012,Jan,Clear,775,3248,4023
2012-01-29,Spring,2012,Jan,Clear,558,2685,3243
2012-01-30,Spring,2012,Jan,Clear,126,3498,3624
2012-01-31,Spring,2012,Jan,Clear,324,4185,4509
2012-02-01,Spring,2012,Feb,Clear,304,4275,4579
2012-02-02,Spring,2012,Feb,Mist,190,3571,3761
2012-02-03,Spring,2012,Feb,Clear,310,3841,4151
2012-02-04,Spring,2012,Feb,Mist,384,2448,2832
2012-02-05,Spring,2012,Feb,Mist,318,2629,2947
2012-02-06,Spring,2012,Feb,Clear,206,3578,3784
2012-02-07,Spring,2012,Feb,Clear,199,4176,4375
2012-02-08,Spring,2012,Feb,Mist,109,2693,2802
2012-02-09,Spring,2012,Feb,Clear,163,3667,3830
2012-02-10,Spring,2012,Feb,Mist,227,3604,3831
2012-02-11,Spring,2012,Feb,Light Rain/Snow,192,1977,2169
2012-02-12,Spring,2012,Feb,Clear,73,1456,1529
2012-02-13,Spring,2012,Feb,Clear,94,3328,3422
2012-02-14,Spring,2012,Feb,Mist,135,3787,3922
2012-02-15,Spring,2012,Feb,Clear,141,4028,4169
2012-02-16,Spring,2012,Feb,Mist,74,2931,3005
2012-02-17,Spring,2012,Feb,Clear,349,3805,4154
2012-02-18,Spring,2012,Feb,Clear,1435,2883,4318
2012-02-19,Spring,2012,Feb,Mist,618,2071,2689
2012-02-20,Spring,2012,Feb,Clear,502,2627,3129
2012-02-21,Spring,2012,Feb,Clear,163,3614,3777
2012-02-22,Spring,2012,Feb,Clear,394,4379,4773
2012-02-23,Spring,2012,Feb,Clear,516,4546,5062
2012-02-24,Spring,2012,Feb,Mist,246,3241,3487
2012-02-25,Spring,2012,Feb,Clear,317,2415,2732
2012-02-26,Spring,2012,Feb,Clear,515,2874,3389
2012-02-27,Spring,2012,Feb,Clear,253,4069,4322
2012-02-28,Spring,2012,Feb,Clear,229,4134,4363
2012-02-29,Spring,2012,Feb,Mist,65,1769,1834
2012-03-01,Spring,2012,Mar,Clear,325,4665,4990
2012-03-02,Spring,2012,Mar,Mist,246,2948,3194
2012-03-03,Spring,2012,Mar,Mist,956,3110,4066
2012-03-04,Spring,2012,Mar,Clear,710,2713,3423
2012-03-05,Spring,2012,Mar,Clear,203,3130,3333
2012-03-06,Spring,2012,Mar,Clear,221,3735,3956
2012-03-07,Spring,2012,Mar,Clear,432,4484,4916
2012-03-08,Spring,2012,Mar,Clear,486,4896,5382
2012-03-09,Spring,2012,Mar,Mist,447,4122,4569
2012-03-10,Spring,2012,Mar,Clear,968,3150,4118
2012-03-11,Spring,2012,Mar,Clear,1658,3253,4911
2012-03-12,Spring,2012,Mar,Clear,838,4460,5298
2012-03-13,Spring,2012,Mar,Clear,762,5085,5847
2012-03-14,Spring,2012,Mar,Clear,997,5315,6312
2012-03-15,Spring,2012,Mar,Clear,1005,5187,6192
2012-03-16,Spring,2012,Mar,Mist,548,3830,4378
2012-03-17,Spring,2012,Mar,Mist,3155,4681,7836
2012-03-18,Spring,2012,Mar,Mist,2207,3685,5892
2012-03-19,Spring,2012,Mar,Clear,982,5171,6153
2012-03-20,Spring,2012,Mar,Clear,1051,5042,6093
2012-03-21,Summer,2012,Mar,Mist,1122,5108,6230
2012-03-22,Summer,2012,Mar,Clear,1334,5537,6871
2012-03-23,Summer,2012,Mar,Mist,2469,5893,8362
2012-03-24,Summer,2012,Mar,Mist,1033,2339,3372
2012-03-25,Summer,2012,Mar,Mist,1532,3464,4996
2012-03-26,Summer,2012,Mar,Clear,795,4763,5558
2012-03-27,Summer,2012,Mar,Clear,531,4571,5102
2012-03-28,Summer,2012,Mar,Clear,674,5024,5698
2012-03-29,Summer,2012,Mar,Clear,834,5299,6133
2012-03-30,Summer,2012,Mar,Mist,796,4663,5459
2012-03-31,Summer,2012,Mar,Mist,2301,3934,6235
2012-04-01,Summer,2012,Apr,Mist,2347,3694,6041
2012-04-02,Summer,2012,Apr,Clear,1208,4728,5936
2012-04-03,Summer,2012,Apr,Clear,1348,5424,6772
2012-04-04,Summer,2012,Apr,Clear,1058,5378,6436
2012-04-05,Summer,2012,Apr,Clear,1192,5265,6457
2012-04-06,Summer,2012,Apr,Clear,1807,4653,6460
2012-04-07,Summer,2012,Apr,Clear,3252,3605,6857
2012-04-08,Summer,2012,Apr,Clear,2230,2939,5169
2012-04-09,Summer,2012,Apr,Clear,905,4680,5585
2012-04-10,Summer,2012,Apr,Clear,819,5099,5918
2012-04-11,Summer,2012,Apr,Clear,482,4380,4862
2012-04-12,Summer,2012,Apr,Clear,663,4746,5409
2012-04-13,Summer,2012,Apr,Clear,1252,5146,6398
2012-04-14,Summer,2012,Apr,Clear,2795,4665,7460
2012-04-15,Summer,2012,Apr,Clear,2846,4286,7132
2012-04-16,Summer,2012,Apr,Clear,1198,5172,6370
2012-04-17,Summer,2012,Apr,Clear,989,5702,6691
2012-04-18,Summer,2012,Apr,Mist,347,4020,4367
2012-04-19,Summer,2012,Apr,Clear,846,5719,6565
2012-04-20,Summer,2012,Apr,Clear,1340,5950,7290
2012-04-21,Summer,2012,Apr,Clear,2541,4083,6624
2012-04-22,Summer,2012,Apr,Light Rain/Snow,120,907,1027
2012-04-23,Summer,2012,Apr,Mist,195,3019,3214
2012-04-24,Summer,2012,Apr,Clear,518,5115,5633
2012-04-25,Summer,2012,Apr,Clear,655,5541,6196
2012-04-26,Summer,2012,Apr,Mist,475,4551,5026
2012-04-27,Summer,2012,Apr,Clear,1014,5219,6233
2012-04-28,Summer,2012,Apr,Mist,1120,3100,4220
2012-04-29,Summer,2012,Apr,Clear,2229,4075,6304
2012-04-30,Summer,2012,Apr,Mist,665,4907,5572
2012-05-01,Summer,2012,May,Mist,653,5087,5740
2012-05-02,Summer,2012,May,Clear,667,5502,6169
2012-05-03,Summer,2012,May,Mist,764,5657,6421
2012-05-04,Summer,2012,May,Clear,1069,5227,6296
2012-05-05,Summer,2012,May,Mist,2496,4387,6883
2012-05-06,Summer,2012,May,Mist,2135,4224,6359
2012-05-07,Summer,2012,May,Mist,1008,5265,6273
2012-05-08,Summer,2012,May,Mist,738,4990,5728
2012-05-09,Summer,2012,May,Mist,620,4097,4717
2012-05-10,Summer,2012,May,Clear,1026,5546,6572
2012-05-11,Summer,2012,May,Clear,1319,5711,7030
2012-05-12,Summer,2012,May,Clear,2622,4807,7429
2012-05-13,Summer,2012,May,Clear,2172,3946,6118
2012-05-14,Summer,2012,May,Mist,342,2501,2843
2012-05-15,Summer,2012,May,Mist,625,4490,5115
2012-05-16,Summer,2012,May,Clear,991,6433,7424
2012-05-17,Summer,2012,May,Clear,1242,6142,7384
2012-05-18,Summer,2012,May,Clear,1521,6118,7639
2012-05-19,Summer,2012,May,Clear,3410,4884,8294
2012-05-20,Summer,2012,May,Clear,2704,4425,7129
2012-05-21,Summer,2012,May,Mist,630,3729,4359
2012-05-22,Summer,2012,May,Mist,819,5254,6073
2012-05-23,Summer,2012,May,Mist,766,4494,5260
2012-05-24,Summer,2012,May,Clear,1059,5711,6770
2012-05-25,Summer,2012,May,Clear,1417,5317,6734
2012-05-26,Summer,2012,May,Clear,2855,3681,6536
2012-05-27,Summer,2012,May,Clear,3283,3308,6591
2012-05-28,Summer,2012,May,Clear,2557,3486,6043
2012-05-29,Summer,2012,May,Clear,880,4863,5743
2012-05-30,Summer,2012,May,Mist,745,6110,6855
2012-05-31,Summer,2012,May,Clear,1100,6238,7338
2012-06-01,Summer,2012,Jun,Mist,533,3594,4127
2012-06-02,Summer,2012,Jun,Clear,2795,5325,8120
2012-06-03,Summer,2012,Jun,Clear,2494,5147,7641
2012-06-04,Summer,2012,Jun,Clear,1071,5927,6998
2012-06-05,Summer,2012,Jun,Mist,968,6033,7001
2012-06-06,Summer,2012,Jun,Clear,1027,6028,7055
2012-06-07,Summer,2012,Jun,Clear,1038,6456,7494
2012-06-08,Summer,2012,Jun,Clear,1488,6248,7736
2012-06-09,Summer,2012,Jun,Clear,2708,4790,7498
2012-06-10,Summer,2012,Jun,Clear,2224,4374,6598
2012-06-11,Summer,2012,Jun,Mist,1017,5647,6664
2012-06-12,Summer,2012,Jun,Mist,477,4495,4972
2012-06-13,Summer,2012,Jun,Clear,1173,6248,7421
2012-06-14,Summer,2012,Jun,Clear,1180,6183,7363
2012-06-15,Summer,2012,Jun,Clear,1563,6102,7665
2012-06-16,Summer,2012,Jun,Clear,2963,4739,7702
2012-06-17,Summer,2012,Jun,Clear,2634,4344,6978
2012-06-18,Summer,2012,Jun,Mist,653,4446,5099
2012-06-19,Summer,2012,Jun,Clear,968,5857,6825
2012-06-20,Summer,2012,Jun,Clear,872,5339,6211
2012-06-21,Fall,2012,Jun,Clear,778,5127,5905
2012-06-22,Fall,2012,Jun,Clear,964,4859,5823
2012-06-23,Fall,2012,Jun,Clear,2657,4801,7458
2012-06-24,Fall,2012,Jun,Clear,2551,4340,6891
2012-06-25,Fall,2012,Jun,Clear,1139,5640,6779
2012-06-26,Fall,2012,Jun,Clear,1077,6365,7442
2012-06-27,Fall,2012,Jun,Clear,1077,6258,7335
2012-06-28,Fall,2012,Jun,Clear,921,5958,6879
2012-06-29,Fall,2012,Jun,Clear,829,4634,5463
2012-06-30,Fall,2012,Jun,Clear,1455,4232,5687
2012-07-01,Fall,2012,Jul,Clear,1421,4110,5531
2012-07-02,Fall,2012,Jul,Clear,904,5323,6227
2012-07-03,Fall,2012,Jul,Clear,1052,5608,6660
2012-07-04,Fall,2012,Jul,Clear,2562,4841,7403
2012-07-05,Fall,2012,Jul,Clear,1405,4836,6241
2012-07-06,Fall,2012,Jul,Clear,1366,4841,6207
2012-07-07,Fall,2012,Jul,Clear,1448,3392,4840
2012-07-08,Fall,2012,Jul,Clear,1203,3469,4672
2012-07-09,Fall,2012,Jul,Mist,998,5571,6569
2012-07-10,Fall,2012,Jul,Mist,954,5336,6290
2012-07-11,Fall,2012,Jul,Clear,975,6289,7264
2012-07-12,Fall,2012,Jul,Clear,1032,6414,7446
2012-07-13,Fall,2012,Jul,Mist,1511,5988,7499
2012-07-14,Fall,2012,Jul,Mist,2355,4614,6969
2012-07-15,Fall,2012,Jul,Clear,1920,4111,6031
2012-07-16,Fall,2012,Jul,Clear,1088,5742,6830
2012-07-17,Fall,2012,Jul,Clear,921,5865,6786
2012-07-18,Fall,2012,Jul,Clear,799,4914,5713
2012-07-19,Fall,2012,Jul,Clear,888,5703,6591
2012-07-20,Fall,2012,Jul,Mist,747,5123,5870
2012-07-21,Fall,2012,Jul,Light Rain/Snow,1264,3195,4459
2012-07-22,Fall,2012,Jul,Mist,2544,4866,7410
2012-07-23,Fall,2012,Jul,Clear,1135,5831,6966
2012-07-24,Fall,2012,Jul,Clear,1140,6452,7592
2012-07-25,Fall,2012,Jul,Clear,1383,6790,8173
2012-07-26,Fall,2012,Jul,Clear,1036,5825,6861
2012-07-27,Fall,2012,Jul,Clear,1259,5645,6904
2012-07-28,Fall,2012,Jul,Clear,2234,4451,6685
2012-07-29,Fall,2012,Jul,Clear,2153,4444,6597
2012-07-30,Fall,2012,Jul,Clear,1040,6065,7105
2012-07-31,Fall,2012,Jul,Clear,968,6248,7216
2012-08-01,Fall,2012,Aug,Clear,1074,6506,7580
2012-08-02,Fall,2012,Aug,Clear,983,6278,7261
2012-08-03,Fall,2012,Aug,Mist,1328,5847,7175
2012-08-04,Fall,2012,Aug,Clear,2345,4479,6824
2012-08-05,Fall,2012,Aug,Clear,1707,3757,5464
2012-08-06,Fall,2012,Aug,Mist,1233,5780,7013
2012-08-07,Fall,2012,Aug,Mist,1278,5995,7273
2012-08-08,Fall,2012,Aug,Mist,1263,6271,7534
2012-08-09,Fall,2012,Aug,Clear,1196,6090,7286
2012-08-10,Fall,2012,Aug,Mist,1065,4721,5786
2012-08-11,Fall,2012,Aug,Mist,2247,4052,6299
2012-08-12,Fall,2012,Aug,Clear,2182,4362,6544
2012-08-13,Fall,2012,Aug,Clear,1207,5676,6883
2012-08-14,Fall,2012,Aug,Clear,1128,5656,6784
2012-08-15,Fall,2012,Aug,Clear,1198,6149,7347
2012-08-16,Fall,2012,Aug,Clear,1338,6267,7605
2012-08-17,Fall,2012,Aug,Clear,1483,5665,7148
2012-08-18,Fall,2012,Aug,Clear,2827,5038,7865
2012-08-19,Fall,2012,Aug,Mist,1208,3341,4549
2012-08-20,Fall,2012,Aug,Mist,1026,5504,6530
2012-08-21,Fall,2012,Aug,Clear,1081,5925,7006
2012-08-22,Fall,2012,Aug,Clear,1094,6281,7375
2012-08-23,Fall,2012,Aug,Clear,1363,6402,7765
2012-08-24,Fall,2012,Aug,Mist,1325,6257,7582
2012-08-25,Fall,2012,Aug,Mist,1829,4224,6053
2012-08-26,Fall,2012,Aug,Mist,1483,3772,5255
2012-08-27,Fall,2012,Aug,Clear,989,5928,6917
2012-08-28,Fall,2012,Aug,Clear,935,6105,7040
2012-08-29,Fall,2012,Aug,Clear,1177,6520,7697
2012-08-30,Fall,2012,Aug,Clear,1172,6541,7713
2012-08-31,Fall,2012,Aug,Clear,1433,5917,7350
2012-09-01,Fall,2012,Sep,Mist,2352,3788,6140
2012-09-02,Fall,2012,Sep,Mist,2613,3197,5810
2012-09-03,Fall,2012,Sep,Clear,1965,4069,6034
2012-09-04,Fall,2012,Sep,Clear,867,5997,6864
2012-09-05,Fall,2012,Sep,Clear,832,6280,7112
2012-09-06,Fall,2012,Sep,Mist,611,5592,6203
2012-09-07,Fall,2012,Sep,Clear,1045,6459,7504
2012-09-08,Fall,2012,Sep,Mist,1557,4419,5976
2012-09-09,Fall,2012,Sep,Clear,2570,5657,8227
2012-09-10,Fall,2012,Sep,Clear,1118,6407,7525
2012-09-11,Fall,2012,Sep,Clear,1070,6697,7767
2012-09-12,Fall,2012,Sep,Clear,1050,6820,7870
2012-09-13,Fall,2012,Sep,Clear,1054,6750,7804
2012-09-14,Fall,2012,Sep,Clear,1379,6630,8009
2012-09-15,Fall,2012,Sep,Clear,3160,5554,8714
2012-09-16,Fall,2012,Sep,Clear,2166,5167,7333
2012-09-17,Fall,2012,Sep,Mist,1022,5847,6869
2012-09-18,Fall,2012,Sep,Mist,371,3702,4073
2012-09-19,Fall,2012,Sep,Clear,788,6803,7591
2012-09-20,Fall,2012,Sep,Clear,939,6781,7720
2012-09-21,Fall,2012,Sep,Clear,1250,6917,8167
2012-09-22,Fall,2012,Sep,Clear,2512,5883,8395
2012-09-23,Winter,2012,Sep,Clear,2454,5453,7907
2012-09-24,Winter,2012,Sep,Clear,1001,6435,7436
2012-09-25,Winter,2012,Sep,Clear,845,6693,7538
2012-09-26,Winter,2012,Sep,Clear,787,6946,7733
2012-09-27,Winter,2012,Sep,Mist,751,6642,7393
2012-09-28,Winter,2012,Sep,Mist,1045,6370,7415
2012-09-29,Winter,2012,Sep,Clear,2589,5966,8555
2012-09-30,Winter,2012,Sep,Clear,2015,4874,6889
2012-10-01,Winter,2012,Oct,Mist,763,6015,6778
2012-10-02,Winter,2012,Oct,Light Rain/Snow,315,4324,4639
2012-10-03,Winter,2012,Oct,Mist,728,6844,7572
2012-10-04,Winter,2012,Oct,Mist,891,6437,7328
2012-10-05,Winter,2012,Oct,Clear,1516,6640,8156
2012-10-06,Winter,2012,Oct,Clear,3031,4934,7965
2012-10-07,Winter,2012,Oct,Mist,781,2729,3510
2012-10-08,Winter,2012,Oct,Mist,874,4604,5478
2012-10-09,Winter,2012,Oct,Mist,601,5791,6392
2012-10-10,Winter,2012,Oct,Clear,780,6911,7691
2012-10-11,Winter,2012,Oct,Clear,834,6736,7570
2012-10-12,Winter,2012,Oct,Clear,1060,6222,7282
2012-10-13,Winter,2012,Oct,Clear,2252,4857,7109
2012-10-14,Winter,2012,Oct,Clear,2080,4559,6639
2012-10-15,Winter,2012,Oct,Mist,760,5115,5875
2012-10-16,Winter,2012,Oct,Clear,922,6612,7534
2012-10-17,Winter,2012,Oct,Clear,979,6482,7461
2012-10-18,Winter,2012,Oct,Mist,1008,6501,7509
2012-10-19,Winter,2012,Oct,Mist,753,4671,5424
2012-10-20,Winter,2012,Oct,Clear,2806,5284,8090
2012-10-21,Winter,2012,Oct,Clear,2132,4692,6824
2012-10-22,Winter,2012,Oct,Clear,830,6228,7058
2012-10-23,Winter,2012,Oct,Clear,841,6625,7466
2012-10-24,Winter,2012,Oct,Clear,795,6898,7693
2012-10-25,Winter,2012,Oct,Mist,875,6484,7359
2012-10-26,Winter,2012,Oct,Mist,1182,6262,7444
2012-10-27,Winter,2012,Oct,Mist,2643,5209,7852
2012-10-28,Winter,2012,Oct,Mist,998,3461,4459
2012-10-29,Winter,2012,Oct,Light Rain/Snow,2,20,22
2012-10-30,Winter,2012,Oct,Mist,87,1009,1096
2012-10-31,Winter,2012,Oct,Mist,419,5147,5566
2012-11-01,Winter,2012,Nov,Mist,466,5520,5986
2012-11-02,Winter,2012,Nov,Clear,618,5229,5847
2012-11-03,Winter,2012,Nov,Mist,1029,4109,5138
2012-11-04,Winter,2012,Nov,Clear,1201,3906,5107
2012-11-05,Winter,2012,Nov,Clear,378,4881,5259
2012-11-06,Winter,2012,Nov,Clear,466,5220,5686
2012-11-07,Winter,2012,Nov,Mist,326,4709,5035
2012-11-08,Winter,2012,Nov,Clear,340,4975,5315
2012-11-09,Winter,2012,Nov,Clear,709,5283,5992
2012-11-10,Winter,2012,Nov,Clear,2090,4446,6536
2012-11-11,Winter,2012,Nov,Clear,2290,4562,6852
2012-11-12,Winter,2012,Nov,Clear,1097,5172,6269
2012-11-13,Winter,2012,Nov,Mist,327,3767,4094
2012-11-14,Winter,2012,Nov,Clear,373,5122,5495
2012-11-15,Winter,2012,Nov,Mist,320,5125,5445
2012-11-16,Winter,2012,Nov,Clear,484,5214,5698
2012-11-17,Winter,2012,Nov,Clear,1313,4316,5629
2012-11-18,Winter,2012,Nov,Clear,922,3747,4669
2012-11-19,Winter,2012,Nov,Mist,449,5050,5499
2012-11-20,Winter,2012,Nov,Mist,534,5100,5634
2012-11-21,Winter,2012,Nov,Clear,615,4531,5146
2012-11-22,Winter,2012,Nov,Clear,955,1470,2425
2012-11-23,Winter,2012,Nov,Clear,1603,2307,3910
2012-11-24,Winter,2012,Nov,Clear,532,1745,2277
2012-11-25,Winter,2012,Nov,Clear,309,2115,2424
2012-11-26,Winter,2012,Nov,Clear,337,4750,5087
2012-11-27,Winter,2012,Nov,Mist,123,3836,3959
2012-11-28,Winter,2012,Nov,Clear,198,5062,5260
2012-11-29,Winter,2012,Nov,Clear,243,5080,5323
2012-11-30,Winter,2012,Nov,Clear,362,5306,5668
2012-12-01,Winter,2012,Dec,Mist,951,4240,5191
2012-12-02,Winter,2012,Dec,Mist,892,3757,4649
2012-12-03,Winter,2012,Dec,Clear,555,5679,6234
2012-12-04,Winter,2012,Dec,Clear,551,6055,6606
2012-12-05,Winter,2012,Dec,Clear,331,5398,5729
2012-12-06,Winter,2012,Dec,Clear,340,5035,5375
2012-12-07,Winter,2012,Dec,Mist,349,4659,5008
2012-12-08,Winter,2012,Dec,Mist,1153,4429,5582
2012-12-09,Winter,2012,Dec,Mist,441,2787,3228
2012-12-10,Winter,2012,Dec,Mist,329,4841,5170
2012-12-11,Winter,2012,Dec,Mist,282,5219,5501
2012-12-12,Winter,2012,Dec,Mist,310,5009,5319
2012-12-13,Winter,2012,Dec,Clear,425,5107,5532
2012-12-14,Winter,2012,Dec,Clear,429,5182,5611
2012-12-15,Winter,2012,Dec,Clear,767,4280,5047
2012-12-16,Winter,2012,Dec,Mist,538,3248,3786
2012-12-17,Winter,2012,Dec,Mist,212,4373,4585
2012-12-18,Winter,2012,Dec,Clear,433,5124,5557
2012-12-19,Winter,2012,Dec,Clear,333,4934,5267
2012-12-20,Winter,2012,Dec,Mist,314,3814,4128
2012-12-21,Spring,2012,Dec,Mist,221,3402,3623
2012-12-22,Spring,2012,Dec,Clear,205,1544,1749
2012-12-23,Spring,2012,Dec,Clear,408,1379,1787
2012-12-24,Spring,2012,Dec,Mist,174,746,920
2012-12-25,Spring,2012,Dec,Mist,440,573,1013
2012-12-26,Spring,2012,Dec,Light Rain/Snow,9,432,441
2012-12-27,Spring,2012,Dec,Mist,247,1867,2114
2012-12-28,Spring,2012,Dec,Mist,644,2451,3095
2012-12-29,Spring,2012,Dec,Mist,159,1182,1341
2012-12-30,Spring,2012,Dec,Clear,364,1432,1796
2012-12-31,Spring,2012,Dec,Mist,439,2290,2729
